Date/Time (EST),2m Temperature (hr. avg) (F),2m Relative Humidity (percent),2m Station Pressure (mb)
2011-01-06 15:00:00,45.1,37.0,986.3
2011-01-06 16:00:00,45.3,36.0,986.2
2011-01-06 17:00:00,43.9,41.0,986.1
2011-01-06 18:00:00,41.9,45.0,986.3
2011-01-06 19:00:00,39.4,54.0,986.1
2011-01-06 20:00:00,37.8,56.0,985.8
2011-01-06 21:00:00,37.9,54.0,985.6
2011-01-06 22:00:00,38.7,57.0,985.4
2011-01-06 23:00:00,39.2,56.0,984.8
2011-01-07 00:00:00,39.7,59.0,984.1
2011-01-07 01:00:00,39.7,57.0,983.4
2011-01-07 02:00:00,39.2,56.0,983.0
2011-01-07 03:00:00,37.6,61.0,982.8
2011-01-07 04:00:00,36.5,62.0,982.2
2011-01-07 05:00:00,35.4,65.0,982.0
2011-01-07 06:00:00,35.8,63.0,982.3
2011-01-07 07:00:00,36.0,64.0,982.6
2011-01-07 08:00:00,35.2,65.0,982.6
2011-01-07 09:00:00,35.1,64.0,982.9
2011-01-07 10:00:00,36.9,59.0,982.9
2011-01-07 11:00:00,39.4,52.0,982.2
2011-01-07 12:00:00,41.2,43.0,980.7
2011-01-07 13:00:00,43.2,44.0,979.7
2011-01-07 14:00:00,44.1,47.0,978.6
2011-01-07 15:00:00,45.1,47.0,978.1
2011-01-07 16:00:00,44.4,53.0,978.2
2011-01-07 17:00:00,43.3,60.0,978.4
2011-01-07 18:00:00,41.9,62.0,979.1
2011-01-07 19:00:00,40.6,66.0,979.4
2011-01-07 20:00:00,39.0,72.0,978.9
2011-01-07 21:00:00,37.0,76.0,978.9
2011-01-07 22:00:00,36.1,78.0,978.7
2011-01-07 23:00:00,37.2,77.0,978.6
2011-01-08 00:00:00,37.4,79.0,978.6
2011-01-08 01:00:00,37.9,79.0,979.0
2011-01-08 02:00:00,36.9,84.0,979.4
2011-01-08 03:00:00,33.6,86.0,980.1
2011-01-08 04:00:00,31.6,91.0,980.1
2011-01-08 05:00:00,31.5,91.0,980.0
2011-01-08 06:00:00,32.0,89.0,980.5
2011-01-08 07:00:00,32.0,87.0,980.9
2011-01-08 08:00:00,32.9,83.0,981.2
2011-01-08 09:00:00,33.8,77.0,981.5
2011-01-08 10:00:00,36.5,65.0,982.0
2011-01-08 11:00:00,39.4,47.0,981.9
2011-01-08 12:00:00,38.5,81.0,982.4
2011-01-08 13:00:00,37.2,53.0,981.9
2011-01-08 14:00:00,37.0,62.0,983.1
2011-01-08 15:00:00,37.9,38.0,983.7
2011-01-08 16:00:00,39.0,35.0,985.1
2011-01-08 17:00:00,35.4,43.0,987.0
2011-01-08 18:00:00,32.2,47.0,988.8
2011-01-08 19:00:00,30.0,45.0,990.8
2011-01-08 20:00:00,28.6,40.0,992.0
2011-01-08 21:00:00,27.3,42.0,993.4
2011-01-08 22:00:00,26.2,40.0,994.6
2011-01-08 23:00:00,25.0,41.0,995.3
2011-01-09 00:00:00,24.3,42.0,996.4
2011-01-09 01:00:00,23.4,43.0,997.0
2011-01-09 02:00:00,22.6,45.0,998.0
2011-01-09 03:00:00,21.9,47.0,999.1
2011-01-09 04:00:00,21.4,48.0,1000.2
2011-01-09 05:00:00,20.7,49.0,1001.4
2011-01-09 06:00:00,19.6,54.0,1002.1
2011-01-09 07:00:00,19.0,54.0,1002.7
2011-01-09 08:00:00,18.7,56.0,1003.8
2011-01-09 09:00:00,20.3,49.0,1005.4
2011-01-09 10:00:00,23.5,43.0,1006.5
2011-01-09 11:00:00,26.4,36.0,1006.8
2011-01-09 12:00:00,29.5,33.0,1005.7
2011-01-09 13:00:00,31.8,28.0,1005.6
2011-01-09 14:00:00,33.1,31.0,1005.4
2011-01-09 15:00:00,33.4,28.0,1006.4
2011-01-09 16:00:00,33.3,29.0,1007.4
2011-01-09 17:00:00,32.2,32.0,1007.3
2011-01-09 18:00:00,30.4,36.0,1008.1
2011-01-09 19:00:00,28.0,37.0,1008.3
2011-01-09 20:00:00,27.3,40.0,1009.3
2011-01-09 21:00:00,26.4,39.0,1009.4
2011-01-09 22:00:00,27.1,59.0,1009.9
2011-01-09 23:00:00,27.0,42.0,1010.1
2011-01-10 00:00:00,27.7,45.0,1009.7
2011-01-10 01:00:00,27.7,45.0,1009.0
2011-01-10 02:00:00,27.9,46.0,1009.1
2011-01-10 03:00:00,28.2,44.0,1008.6
2011-01-10 04:00:00,28.4,45.0,1009.9
2011-01-10 05:00:00,28.6,45.0,1009.3
2011-01-10 06:00:00,28.6,41.0,1009.5
2011-01-10 07:00:00,28.9,43.0,1009.8
2011-01-10 08:00:00,28.9,41.0,1011.1
2011-01-10 09:00:00,29.5,40.0,1011.2
2011-01-10 10:00:00,30.4,37.0,1011.2
2011-01-10 11:00:00,30.9,36.0,1010.3
2011-01-10 12:00:00,31.3,37.0,1009.6
2011-01-10 13:00:00,32.0,36.0,1008.6
2011-01-10 14:00:00,32.4,36.0,1007.6
2011-01-10 15:00:00,32.9,36.0,1007.9
2011-01-10 16:00:00,32.5,45.0,1008.1
2011-01-10 17:00:00,30.9,51.0,1007.6
2011-01-10 18:00:00,30.7,62.0,1007.8
2011-01-10 19:00:00,29.5,61.0,1007.5
2011-01-10 20:00:00,29.3,70.0,1007.3
2011-01-10 21:00:00,28.4,86.0,1007.1
2011-01-10 22:00:00,27.7,87.0,1007.0
2011-01-10 23:00:00,27.7,88.0,1006.4
2011-01-11 00:00:00,27.7,89.0,1006.3
2011-01-11 01:00:00,27.5,89.0,1006.0
2011-01-11 02:00:00,27.5,89.0,1006.3
2011-01-11 03:00:00,27.7,91.0,1006.1
2011-01-11 04:00:00,27.7,91.0,1005.8
2011-01-11 05:00:00,27.7,91.0,1005.0
2011-01-11 06:00:00,28.0,92.0,1004.7
2011-01-11 07:00:00,27.9,92.0,1004.6
2011-01-11 08:00:00,27.7,93.0,1004.9
2011-01-11 09:00:00,27.9,92.0,1005.1
2011-01-11 10:00:00,28.4,90.0,1004.9
2011-01-11 11:00:00,28.8,90.0,1004.5
2011-01-11 12:00:00,29.3,91.0,1003.5
2011-01-11 13:00:00,29.7,92.0,1002.3
2011-01-11 14:00:00,29.8,91.0,1000.8
2011-01-11 15:00:00,30.6,92.0,1000.6
2011-01-11 16:00:00,30.9,93.0,1000.4
2011-01-11 17:00:00,30.7,93.0,999.5
2011-01-11 18:00:00,30.7,95.0,999.7
2011-01-11 19:00:00,30.7,95.0,999.5
2011-01-11 20:00:00,30.9,94.0,999.2
2011-01-11 21:00:00,31.1,94.0,999.1
2011-01-11 22:00:00,31.5,92.0,999.1
2011-01-11 23:00:00,31.8,91.0,998.5
2011-01-12 00:00:00,31.5,91.0,998.1
2011-01-12 01:00:00,31.3,90.0,997.9
2011-01-12 02:00:00,30.7,92.0,997.8
2011-01-12 03:00:00,30.0,91.0,998.3
2011-01-12 04:00:00,29.3,88.0,998.6
2011-01-12 05:00:00,28.8,77.0,998.8
2011-01-12 06:00:00,28.4,78.0,999.3
2011-01-12 07:00:00,27.7,79.0,999.7
2011-01-12 08:00:00,26.4,78.0,1000.5
2011-01-12 09:00:00,26.8,74.0,1001.4
2011-01-12 10:00:00,28.4,66.0,1001.8
2011-01-12 11:00:00,30.0,65.0,1001.5
2011-01-12 12:00:00,31.5,60.0,1000.9
2011-01-12 13:00:00,33.1,54.0,1000.0
2011-01-12 14:00:00,34.7,47.0,999.9
2011-01-12 15:00:00,36.0,45.0,1000.3
2011-01-12 16:00:00,36.1,42.0,1001.4
2011-01-12 17:00:00,35.1,44.0,1001.9
2011-01-12 18:00:00,33.4,44.0,1002.3
2011-01-12 19:00:00,32.4,47.0,1003.1
2011-01-12 20:00:00,31.5,48.0,1003.7
2011-01-12 21:00:00,30.6,49.0,1004.6
2011-01-12 22:00:00,29.8,51.0,1005.0
2011-01-12 23:00:00,29.3,51.0,1005.5
2011-01-13 00:00:00,28.6,50.0,1005.6
2011-01-13 01:00:00,27.9,51.0,1005.8
2011-01-13 02:00:00,27.3,52.0,1006.3
2011-01-13 03:00:00,26.4,54.0,1006.9
2011-01-13 04:00:00,25.7,56.0,1006.8
2011-01-13 05:00:00,25.2,57.0,1007.2
2011-01-13 06:00:00,24.4,58.0,1007.8
2011-01-13 07:00:00,23.4,62.0,1008.4
2011-01-13 08:00:00,23.0,62.0,1009.5
2011-01-13 09:00:00,25.0,55.0,1010.6
2011-01-13 10:00:00,29.5,47.0,1011.4
2011-01-13 11:00:00,32.4,44.0,1011.2
2011-01-13 12:00:00,34.7,39.0,1010.6
2011-01-13 13:00:00,36.1,39.0,1010.0
2011-01-13 14:00:00,37.4,35.0,1009.6
2011-01-13 15:00:00,38.7,34.0,1009.5
2011-01-13 16:00:00,39.2,34.0,1009.4
2011-01-13 17:00:00,38.1,37.0,1010.0
2011-01-13 18:00:00,34.5,41.0,1010.8
2011-01-13 19:00:00,31.6,52.0,1011.1
2011-01-13 20:00:00,29.8,53.0,1011.3
2011-01-13 21:00:00,28.9,52.0,1011.3
2011-01-13 22:00:00,28.8,52.0,1011.5
2011-01-13 23:00:00,28.4,55.0,1011.7
2011-01-14 00:00:00,26.6,59.0,1012.0
2011-01-14 01:00:00,25.5,61.0,1011.8
2011-01-14 02:00:00,25.0,62.0,1012.2
2011-01-14 03:00:00,24.4,62.0,1012.0
2011-01-14 04:00:00,24.1,62.0,1011.5
2011-01-14 05:00:00,22.8,67.0,1011.8
2011-01-14 06:00:00,22.1,75.0,1012.2
2011-01-14 07:00:00,20.7,74.0,1012.4
2011-01-14 08:00:00,20.5,78.0,1012.8
2011-01-14 09:00:00,22.8,60.0,1013.7
2011-01-14 10:00:00,27.9,51.0,1013.9
2011-01-14 11:00:00,31.1,45.0,1013.9
2011-01-14 12:00:00,33.4,41.0,1012.7
2011-01-14 13:00:00,35.6,38.0,1011.4
2011-01-14 14:00:00,37.4,36.0,1010.8
2011-01-14 15:00:00,38.8,34.0,1010.7
2011-01-14 16:00:00,39.2,35.0,1011.1
2011-01-14 17:00:00,38.5,37.0,1010.8
2011-01-14 18:00:00,36.0,40.0,1010.7
2011-01-14 19:00:00,33.3,45.0,1010.6
2011-01-14 20:00:00,31.5,47.0,1010.9
2011-01-14 21:00:00,30.4,51.0,1011.0
2011-01-14 22:00:00,28.8,59.0,1011.0
2011-01-14 23:00:00,28.0,62.0,1010.5
2011-01-15 00:00:00,28.8,55.0,1009.7
2011-01-15 01:00:00,28.4,58.0,1009.1
2011-01-15 02:00:00,29.5,57.0,1009.0
2011-01-15 03:00:00,29.3,62.0,1008.4
2011-01-15 04:00:00,29.1,62.0,1008.3
2011-01-15 05:00:00,29.5,62.0,1008.1
2011-01-15 06:00:00,30.0,62.0,1007.7
2011-01-15 07:00:00,31.1,57.0,1007.5
2011-01-15 08:00:00,32.0,56.0,1007.6
2011-01-15 09:00:00,32.5,54.0,1008.0
2011-01-15 10:00:00,36.1,44.0,1007.8
2011-01-15 11:00:00,39.7,39.0,1006.9
2011-01-15 12:00:00,42.8,36.0,1005.4
2011-01-15 13:00:00,45.0,33.0,1003.8
2011-01-15 14:00:00,47.1,31.0,1002.8
2011-01-15 15:00:00,48.4,31.0,1002.1
2011-01-15 16:00:00,48.7,32.0,1001.8
2011-01-15 17:00:00,48.0,34.0,1001.9
2011-01-15 18:00:00,45.0,40.0,1001.3
2011-01-15 19:00:00,42.6,44.0,1001.4
2011-01-15 20:00:00,41.0,46.0,1001.3
2011-01-15 21:00:00,40.6,47.0,1001.2
2011-01-15 22:00:00,40.6,47.0,1001.1
2011-01-15 23:00:00,40.1,50.0,1001.2
2011-01-16 00:00:00,38.8,53.0,1000.9
2011-01-16 01:00:00,38.7,55.0,1000.8
2011-01-16 02:00:00,37.8,57.0,1000.8
2011-01-16 03:00:00,36.9,59.0,1000.6
2011-01-16 04:00:00,36.5,58.0,1000.5
2011-01-16 05:00:00,36.9,56.0,1000.6
2011-01-16 06:00:00,35.1,61.0,1000.9
2011-01-16 07:00:00,33.4,64.0,1001.6
2011-01-16 08:00:00,32.0,69.0,1002.4
2011-01-16 09:00:00,33.3,67.0,1002.9
2011-01-16 10:00:00,41.4,48.0,1003.9
2011-01-16 11:00:00,47.3,43.0,1004.0
2011-01-16 12:00:00,49.5,40.0,1002.6
2011-01-16 13:00:00,51.4,40.0,1002.4
2011-01-16 14:00:00,51.3,38.0,1001.5
2011-01-16 15:00:00,52.7,37.0,1001.3
2011-01-16 16:00:00,52.2,38.0,1001.5
2011-01-16 17:00:00,51.3,43.0,1001.9
2011-01-16 18:00:00,47.7,50.0,1002.2
2011-01-16 19:00:00,43.5,58.0,1002.7
2011-01-16 20:00:00,41.4,58.0,1003.0
2011-01-16 21:00:00,39.9,63.0,1003.4
2011-01-16 22:00:00,39.0,66.0,1003.6
2011-01-16 23:00:00,37.6,70.0,1003.7
2011-01-17 00:00:00,36.5,72.0,1003.7
2011-01-17 01:00:00,35.6,71.0,1003.4
2011-01-17 02:00:00,35.1,74.0,1003.4
2011-01-17 03:00:00,34.2,77.0,1003.8
2011-01-17 04:00:00,34.0,78.0,1003.5
2011-01-17 05:00:00,33.4,80.0,1003.7
2011-01-17 06:00:00,32.9,83.0,1003.6
2011-01-17 07:00:00,32.4,87.0,1003.6
2011-01-17 08:00:00,32.2,87.0,1003.9
2011-01-17 09:00:00,33.3,85.0,1005.0
2011-01-17 10:00:00,36.3,77.0,1005.0
2011-01-17 11:00:00,40.6,71.0,1004.3
2011-01-17 12:00:00,43.3,66.0,1002.8
2011-01-17 13:00:00,45.1,64.0,1001.5
2011-01-17 14:00:00,45.9,64.0,1001.1
2011-01-17 15:00:00,45.1,68.0,1000.7
2011-01-17 16:00:00,43.2,71.0,1000.8
2011-01-17 17:00:00,42.8,72.0,1000.7
2011-01-17 18:00:00,41.4,73.0,1000.1
2011-01-17 19:00:00,39.9,83.0,1000.1
2011-01-17 20:00:00,38.3,90.0,999.7
2011-01-17 21:00:00,37.0,91.0,999.2
2011-01-17 22:00:00,36.5,91.0,999.0
2011-01-17 23:00:00,35.8,91.0,998.8
2011-01-18 00:00:00,35.2,92.0,997.8
2011-01-18 01:00:00,34.3,93.0,996.4
2011-01-18 02:00:00,33.3,94.0,996.2
2011-01-18 03:00:00,32.5,94.0,995.8
2011-01-18 04:00:00,32.2,94.0,994.5
2011-01-18 05:00:00,32.0,95.0,993.7
2011-01-18 06:00:00,32.0,95.0,994.1
2011-01-18 07:00:00,32.0,95.0,994.2
2011-01-18 08:00:00,32.0,96.0,994.6
2011-01-18 09:00:00,32.2,96.0,994.8
2011-01-18 10:00:00,32.9,95.0,995.2
2011-01-18 11:00:00,33.8,95.0,994.7
2011-01-18 12:00:00,35.6,92.0,993.8
2011-01-18 13:00:00,39.4,81.0,992.8
2011-01-18 14:00:00,43.2,75.0,992.6
2011-01-18 15:00:00,44.8,70.0,992.5
2011-01-18 16:00:00,45.5,75.0,992.4
2011-01-18 17:00:00,45.0,76.0,992.2
2011-01-18 18:00:00,43.7,82.0,992.4
2011-01-18 19:00:00,43.0,82.0,992.7
2011-01-18 20:00:00,43.3,84.0,992.7
2011-01-18 21:00:00,43.5,84.0,992.0
2011-01-18 22:00:00,44.4,84.0,991.2
2011-01-18 23:00:00,44.4,87.0,991.8
2011-01-19 00:00:00,43.7,91.0,991.9
2011-01-19 01:00:00,42.8,92.0,992.0
2011-01-19 02:00:00,41.9,92.0,992.0
2011-01-19 03:00:00,41.7,93.0,992.2
2011-01-19 04:00:00,41.7,93.0,992.1
2011-01-19 05:00:00,41.7,94.0,991.8
2011-01-19 06:00:00,41.5,94.0,991.9
2011-01-19 07:00:00,41.5,94.0,992.5
2011-01-19 08:00:00,41.7,93.0,993.1
2011-01-19 09:00:00,42.3,92.0,993.5
2011-01-19 10:00:00,42.8,89.0,994.5
2011-01-19 11:00:00,45.7,79.0,994.3
2011-01-19 12:00:00,49.6,66.0,993.8
2011-01-19 13:00:00,53.8,58.0,993.3
2011-01-19 14:00:00,55.8,50.0,993.1
2011-01-19 15:00:00,58.1,43.0,993.3
2011-01-19 16:00:00,58.5,41.0,993.8
2011-01-19 17:00:00,58.1,42.0,994.7
2011-01-19 18:00:00,55.2,47.0,995.6
2011-01-19 19:00:00,51.4,57.0,996.7
2011-01-19 20:00:00,47.5,58.0,997.2
2011-01-19 21:00:00,47.8,56.0,998.4
2011-01-19 22:00:00,46.4,58.0,999.2
2011-01-19 23:00:00,44.6,59.0,1000.2
2011-01-20 00:00:00,42.8,62.0,1000.5
2011-01-20 01:00:00,41.0,63.0,1000.4
2011-01-20 02:00:00,39.9,64.0,1001.0
2011-01-20 03:00:00,38.8,63.0,1001.1
2011-01-20 04:00:00,37.9,64.0,1001.1
2011-01-20 05:00:00,35.8,72.0,1001.6
2011-01-20 06:00:00,32.5,80.0,1002.1
2011-01-20 07:00:00,31.5,79.0,1002.4
2011-01-20 08:00:00,32.2,74.0,1002.3
2011-01-20 09:00:00,34.2,69.0,1003.3
2011-01-20 10:00:00,39.6,58.0,1003.8
2011-01-20 11:00:00,41.7,53.0,1003.0
2011-01-20 12:00:00,45.7,51.0,1001.1
2011-01-20 13:00:00,47.1,51.0,999.1
2011-01-20 14:00:00,48.2,52.0,997.6
2011-01-20 15:00:00,49.6,52.0,996.9
2011-01-20 16:00:00,49.5,55.0,996.4
2011-01-20 17:00:00,49.1,58.0,995.4
2011-01-20 18:00:00,47.3,65.0,994.9
2011-01-20 19:00:00,44.1,73.0,993.8
2011-01-20 20:00:00,42.6,76.0,992.7
2011-01-20 21:00:00,44.8,72.0,991.7
2011-01-20 22:00:00,45.3,73.0,990.7
2011-01-20 23:00:00,46.0,83.0,989.5
2011-01-21 00:00:00,46.0,88.0,988.7
2011-01-21 01:00:00,46.0,88.0,988.1
2011-01-21 02:00:00,46.0,81.0,987.6
2011-01-21 03:00:00,45.5,80.0,988.0
2011-01-21 04:00:00,43.3,82.0,988.6
2011-01-21 05:00:00,42.4,62.0,989.5
2011-01-21 06:00:00,40.3,54.0,990.5
2011-01-21 07:00:00,37.0,57.0,991.8
2011-01-21 08:00:00,35.4,54.0,993.0
2011-01-21 09:00:00,35.8,42.0,993.8
2011-01-21 10:00:00,36.7,39.0,994.4
2011-01-21 11:00:00,37.9,33.0,994.5
2011-01-21 12:00:00,39.4,35.0,993.9
2011-01-21 13:00:00,40.5,33.0,993.0
2011-01-21 14:00:00,41.2,30.0,993.1
2011-01-21 15:00:00,41.9,30.0,993.2
2011-01-21 16:00:00,41.9,26.0,993.6
2011-01-21 17:00:00,40.1,30.0,994.5
2011-01-21 18:00:00,37.2,33.0,994.9
2011-01-21 19:00:00,35.2,31.0,995.7
2011-01-21 20:00:00,33.8,31.0,996.3
2011-01-21 21:00:00,32.5,32.0,996.7
2011-01-21 22:00:00,31.1,31.0,996.7
2011-01-21 23:00:00,29.3,32.0,996.8
2011-01-22 00:00:00,28.2,32.0,997.1
2011-01-22 01:00:00,27.7,29.0,997.1
2011-01-22 02:00:00,27.0,30.0,997.1
2011-01-22 03:00:00,26.1,32.0,997.2
2011-01-22 04:00:00,25.3,35.0,997.2
2011-01-22 05:00:00,24.8,38.0,997.1
2011-01-22 06:00:00,24.6,40.0,997.2
2011-01-22 07:00:00,24.1,41.0,997.2
2011-01-22 08:00:00,23.7,42.0,997.5
2011-01-22 09:00:00,23.9,40.0,997.6
2011-01-22 10:00:00,24.4,38.0,997.5
2011-01-22 11:00:00,25.5,36.0,997.0
2011-01-22 12:00:00,27.3,33.0,995.8
2011-01-22 13:00:00,29.1,33.0,995.1
2011-01-22 14:00:00,30.9,30.0,994.7
2011-01-22 15:00:00,30.6,30.0,994.4
2011-01-22 16:00:00,30.0,32.0,994.1
2011-01-22 17:00:00,30.0,32.0,994.5
2011-01-22 18:00:00,28.4,35.0,995.0
2011-01-22 19:00:00,26.8,39.0,995.9
2011-01-22 20:00:00,24.6,48.0,996.6
2011-01-22 21:00:00,22.6,53.0,996.9
2011-01-22 22:00:00,21.0,63.0,997.6
2011-01-22 23:00:00,19.4,66.0,998.3
2011-01-23 00:00:00,18.1,71.0,997.8
2011-01-23 01:00:00,17.8,70.0,997.6
2011-01-23 02:00:00,17.6,74.0,997.8
2011-01-23 03:00:00,17.1,72.0,998.5
2011-01-23 04:00:00,17.4,74.0,998.9
2011-01-23 05:00:00,18.1,68.0,999.5
2011-01-23 06:00:00,20.1,62.0,1000.0
2011-01-23 07:00:00,19.9,66.0,1000.8
2011-01-23 08:00:00,20.5,61.0,1001.4
2011-01-23 09:00:00,23.5,50.0,1002.4
2011-01-23 10:00:00,30.2,45.0,1003.6
2011-01-23 11:00:00,34.9,42.0,1003.6
2011-01-23 12:00:00,37.8,38.0,1003.1
2011-01-23 13:00:00,40.6,34.0,1002.0
2011-01-23 14:00:00,41.9,32.0,1002.1
2011-01-23 15:00:00,42.6,32.0,1002.3
2011-01-23 16:00:00,43.9,30.0,1002.8
